new_id,batch,timestamp,old_run,new_run,old_config,new_config
142,5,2026-08-03T16:18:04.451003,079_r3d_au05_autoapex_s42_v2_dev_p5,142_r3d_au05_autoapex_s42_v2_dev_p5,079_r3d_au05_autoapex_s42,142_r3d_au05_autoapex_s42
143,5,2026-08-03T16:40:40.650416,080_r3d_lastk8_ep40_s123_v2_dev_p5,143_r3d_lastk8_ep40_s123_v2_dev_p5,080_r3d_lastk8_ep40_s123,143_r3d_lastk8_ep40_s123
144,5,2026-08-03T17:03:31.765680,081_r3d_lastk8_ep40_s2024_v2_dev_p5,144_r3d_lastk8_ep40_s2024_v2_dev_p5,081_r3d_lastk8_ep40_s2024,144_r3d_lastk8_ep40_s2024
145,5,2026-08-03T17:31:27.489666,082_r3d_lastk8_ep40_autoapex_s42_v2_dev_p5,145_r3d_lastk8_ep40_autoapex_s42_v2_dev_p5,082_r3d_lastk8_ep40_autoapex_s42,145_r3d_lastk8_ep40_autoapex_s42
146,5,2026-08-03T18:39:23.040943,014_r3d_v2_dev_loso_dev_p5,146_r3d_v2_dev_loso_dev_p5,014_r3d,146_r3d
147,5,2026-08-03T19:51:15.839266,047_r3d_auto_apex_s42_v2_dev_loso_dev_p5,147_r3d_auto_apex_s42_v2_dev_loso_dev_p5,047_r3d_auto_apex_s42,147_r3d_auto_apex_s42
148,5,2026-08-03T21:41:31.152740,074_r3d_lastk8_ep40_s42_v2_dev_loso_dev_p5,148_r3d_lastk8_ep40_s42_v2_dev_loso_dev_p5,074_r3d_lastk8_ep40_s42,148_r3d_lastk8_ep40_s42
149,5,2026-08-03T22:53:08.711285,077_r3d_au05_full_s42_v2_dev_loso_dev_p5,149_r3d_au05_full_s42_v2_dev_loso_dev_p5,077_r3d_au05_full_s42,149_r3d_au05_full_s42
150,5,2026-08-04T00:26:27.582983,069_r3d_es_refit_s42_v2_dev_loso_dev_p5,150_r3d_es_refit_s42_v2_dev_loso_dev_p5,069_r3d_es_refit_s42,150_r3d_es_refit_s42
151,5,2026-08-04T01:38:00.189145,059_r3d_llrd_s42_v2_dev_loso_dev_p5,151_r3d_llrd_s42_v2_dev_loso_dev_p5,059_r3d_llrd_s42,151_r3d_llrd_s42
152,5,2026-08-04T04:26:22.929444,061_r3d_ep60_s42_v2_dev_loso_dev_p5,152_r3d_ep60_s42_v2_dev_loso_dev_p5,061_r3d_ep60_s42,152_r3d_ep60_s42
153,5,2026-08-04T05:37:32.625917,067_r3d_faceparse_full_s42_v2_dev_loso_dev_p5,153_r3d_faceparse_full_s42_v2_dev_loso_dev_p5,067_r3d_faceparse_full_s42,153_r3d_faceparse_full_s42
154,5,2026-08-04T05:48:57.077626,085_resnetgru_full_s42_v2_dev_p5,154_resnetgru_full_s42_v2_dev_p5,085_resnetgru_full_s42,154_resnetgru_full_s42
155,5,2026-08-04T06:01:41.880082,086_resnetgru_autoapex_s42_v2_dev_p5,155_resnetgru_autoapex_s42_v2_dev_p5,086_resnetgru_autoapex_s42,155_resnetgru_autoapex_s42
156,5,2026-08-04T06:15:21.184026,083_r3d_au01_full_s42_v2_dev_p5,156_r3d_au01_full_s42_v2_dev_p5,083_r3d_au01_full_s42,156_r3d_au01_full_s42
157,5,2026-08-04T06:31:39.396395,084_r3d_au02_autoapex_s42_v2_dev_p5,157_r3d_au02_autoapex_s42_v2_dev_p5,084_r3d_au02_autoapex_s42,157_r3d_au02_autoapex_s42
158,5,2026-08-04T07:42:59.331238,076_r3d_au02_full_s42_v2_dev_loso_dev_p5,158_r3d_au02_full_s42_v2_dev_loso_dev_p5,076_r3d_au02_full_s42,158_r3d_au02_full_s42
159,5,2026-08-04T09:02:50.416094,087_mc3_full_s42_v2_dev_loso_dev_p5,159_mc3_full_s42_v2_dev_loso_dev_p5,087_mc3_full_s42,159_mc3_full_s42
160,5,2026-08-04T11:11:15.087805,088_r2plus1d_full_s42_v2_dev_loso_dev_p5,160_r2plus1d_full_s42_v2_dev_loso_dev_p5,088_r2plus1d_full_s42,160_r2plus1d_full_s42
161,5,2026-08-04T12:10:25.105120,086_resnetgru_autoapex_s42_v2_dev_loso_dev_p5,161_resnetgru_autoapex_s42_v2_dev_loso_dev_p5,086_resnetgru_autoapex_s42,161_resnetgru_autoapex_s42
162,5,2026-08-04T13:02:04.491637,085_resnetgru_full_s42_v2_dev_loso_dev_p5,162_resnetgru_full_s42_v2_dev_loso_dev_p5,085_resnetgru_full_s42,162_resnetgru_full_s42
163,5,2026-08-04T14:16:57.087591,089_r3d_regionattn_full_s42_v2_dev_loso_dev_p5,163_r3d_regionattn_full_s42_v2_dev_loso_dev_p5,089_r3d_regionattn_full_s42,163_r3d_regionattn_full_s42
164,5,2026-08-04T15:35:36.759292,090_r3d_regionattn_apex_s42_v2_dev_loso_dev_p5,164_r3d_regionattn_apex_s42_v2_dev_loso_dev_p5,090_r3d_regionattn_apex_s42,164_r3d_regionattn_apex_s42
165,5,2026-08-04T16:52:03.357357,091_r3d_regionattn_dyn_s42_v2_dev_loso_dev_p5,165_r3d_regionattn_dyn_s42_v2_dev_loso_dev_p5,091_r3d_regionattn_dyn_s42,165_r3d_regionattn_dyn_s42
166,5,2026-08-04T18:03:56.873010,092_r3d_nocheek_full_s42_v2_dev_loso_dev_p5,166_r3d_nocheek_full_s42_v2_dev_loso_dev_p5,092_r3d_nocheek_full_s42,166_r3d_nocheek_full_s42
167,5,2026-08-04T19:15:21.664665,093_r3d_auroi_full_s42_v2_dev_loso_dev_p5,167_r3d_auroi_full_s42_v2_dev_loso_dev_p5,093_r3d_auroi_full_s42,167_r3d_auroi_full_s42
168,5,2026-08-04T20:28:53.357283,094_r3d_auroi_apex_s42_v2_dev_loso_dev_p5,168_r3d_auroi_apex_s42_v2_dev_loso_dev_p5,094_r3d_auroi_apex_s42,168_r3d_auroi_apex_s42
169,5,2026-08-04T21:50:15.670034,096_r3d_focus_region_full_s42_v2_dev_loso_dev_p5,169_r3d_focus_region_full_s42_v2_dev_loso_dev_p5,096_r3d_focus_region_full_s42,169_r3d_focus_region_full_s42
170,5,2026-08-04T23:10:47.927714,095_r3d_focus_energy_full_s42_v2_dev_loso_dev_p5,170_r3d_focus_energy_full_s42_v2_dev_loso_dev_p5,095_r3d_focus_energy_full_s42,170_r3d_focus_energy_full_s42
171,6,2026-08-05T00:34:04.478281,097_r3d_focus_region_apex_s42_v2_dev_loso_dev_p5,171_r3d_focus_region_apex_s42_v2_dev_loso_dev_p5,097_r3d_focus_region_apex_s42,171_r3d_focus_region_apex_s42
172,6,2026-08-05T02:29:13.670743,098_r3d_focus_es_full_s42_v2_dev_loso_dev_p5,172_r3d_focus_es_full_s42_v2_dev_loso_dev_p5,098_r3d_focus_es_full_s42,172_r3d_focus_es_full_s42
173,6,2026-08-05T04:45:51.139527,099_r3d_focus_es_apex_s42_v2_dev_loso_dev_p5,173_r3d_focus_es_apex_s42_v2_dev_loso_dev_p5,099_r3d_focus_es_apex_s42,173_r3d_focus_es_apex_s42
174,6,2026-08-05T06:02:21.147288,100_r3d_regionattn_s123_v2_dev_loso_dev_p5,174_r3d_regionattn_s123_v2_dev_loso_dev_p5,100_r3d_regionattn_s123,174_r3d_regionattn_s123
175,6,2026-08-05T07:16:49.523190,101_r3d_regionattn_s2024_v2_dev_loso_dev_p5,175_r3d_regionattn_s2024_v2_dev_loso_dev_p5,101_r3d_regionattn_s2024,175_r3d_regionattn_s2024
176,6,2026-08-05T08:31:47.924643,102_r3d_regionattn_s7_v2_dev_loso_dev_p5,176_r3d_regionattn_s7_v2_dev_loso_dev_p5,102_r3d_regionattn_s7,176_r3d_regionattn_s7
177,6,2026-08-05T09:41:50.055666,014_r3d_s123_loso_v2_dev_loso_dev_p5,177_r3d_s123_loso_v2_dev_loso_dev_p5,014_r3d_s123_loso,177_r3d_s123_loso
178,6,2026-08-05T10:49:55.423105,014_r3d_s2024_loso_v2_dev_loso_dev_p5,178_r3d_s2024_loso_v2_dev_loso_dev_p5,014_r3d_s2024_loso,178_r3d_s2024_loso
179,6,2026-08-05T11:57:34.115941,014_r3d_s7_loso_v2_dev_loso_dev_p5,179_r3d_s7_loso_v2_dev_loso_dev_p5,014_r3d_s7_loso,179_r3d_s7_loso
180,6,2026-08-05T22:39:01.391611,014_r3d_v2_dev_loso_all_p5,180_r3d_v2_dev_loso_all_p5,014_r3d,180_r3d
181,6,2026-08-06T00:33:12.323672,089_r3d_regionattn_full_s42_v2_dev_loso_all_p5,181_r3d_regionattn_full_s42_v2_dev_loso_all_p5,089_r3d_regionattn_full_s42,181_r3d_regionattn_full_s42
182,6,2026-08-06T02:35:04.007162,096_r3d_focus_region_full_s42_v2_dev_loso_all_p5,182_r3d_focus_region_full_s42_v2_dev_loso_all_p5,096_r3d_focus_region_full_s42,182_r3d_focus_region_full_s42
183,6,2026-08-06T05:54:06.276085,098_r3d_focus_es_full_s42_v2_dev_loso_all_p5,183_r3d_focus_es_full_s42_v2_dev_loso_all_p5,098_r3d_focus_es_full_s42,183_r3d_focus_es_full_s42
184,6,2026-08-06T07:45:44.005462,047_r3d_auto_apex_s42_v2_dev_loso_all_p5,184_r3d_auto_apex_s42_v2_dev_loso_all_p5,047_r3d_auto_apex_s42,184_r3d_auto_apex_s42
185,6,2026-08-06T10:41:11.284674,074_r3d_lastk8_ep40_s42_v2_dev_loso_all_p5,185_r3d_lastk8_ep40_s42_v2_dev_loso_all_p5,074_r3d_lastk8_ep40_s42,185_r3d_lastk8_ep40_s42
186,6,2026-08-06T12:27:56.644187,059_r3d_llrd_s42_v2_dev_loso_all_p5,186_r3d_llrd_s42_v2_dev_loso_all_p5,059_r3d_llrd_s42,186_r3d_llrd_s42
187,6,2026-08-06T14:15:12.134647,067_r3d_faceparse_full_s42_v2_dev_loso_all_p5,187_r3d_faceparse_full_s42_v2_dev_loso_all_p5,067_r3d_faceparse_full_s42,187_r3d_faceparse_full_s42
188,6,2026-08-06T16:02:51.304383,077_r3d_au05_full_s42_v2_dev_loso_all_p5,188_r3d_au05_full_s42_v2_dev_loso_all_p5,077_r3d_au05_full_s42,188_r3d_au05_full_s42
189,6,2026-08-06T18:21:34.508516,069_r3d_es_refit_s42_v2_dev_loso_all_p5,189_r3d_es_refit_s42_v2_dev_loso_all_p5,069_r3d_es_refit_s42,189_r3d_es_refit_s42
190,6,2026-08-06T20:50:37.039221,088_r2plus1d_full_s42_v2_dev_loso_all_p5,190_r2plus1d_full_s42_v2_dev_loso_all_p5,088_r2plus1d_full_s42,190_r2plus1d_full_s42
191,6,2026-08-06T22:49:30.711322,095_r3d_focus_energy_full_s42_v2_dev_loso_all_p5,191_r3d_focus_energy_full_s42_v2_dev_loso_all_p5,095_r3d_focus_energy_full_s42,191_r3d_focus_energy_full_s42
192,6,2026-08-06T22:49:36.819610,100_fusion10_loso26,192_fusion10_loso26,,
193,6,2026-08-07T00:00:43.103109,103_resnetgru_nopretrain_full_s42_v2_dev_loso_all_p5,193_resnetgru_nopretrain_full_s42_v2_dev_loso_all_p5,103_resnetgru_nopretrain_full_s42,193_resnetgru_nopretrain_full_s42
194,6,2026-08-07T01:15:12.867342,104_resnetgru_nopretrain_apex_s42_v2_dev_loso_all_p5,194_resnetgru_nopretrain_apex_s42_v2_dev_loso_all_p5,104_resnetgru_nopretrain_apex_s42,194_resnetgru_nopretrain_apex_s42
195,6,2026-08-07T02:47:03.236574,105_focus_rnn_nopretrain_full_s42_v2_dev_loso_all_p5,195_focus_rnn_nopretrain_full_s42_v2_dev_loso_all_p5,105_focus_rnn_nopretrain_full_s42,195_focus_rnn_nopretrain_full_s42
196,6,2026-08-07T06:25:41.715061,106_focus_rnn_nopretrain_es_full_s42_v2_dev_loso_all_p5,196_focus_rnn_nopretrain_es_full_s42_v2_dev_loso_all_p5,106_focus_rnn_nopretrain_es_full_s42,196_focus_rnn_nopretrain_es_full_s42
