=== PROTOCOL V2 iter_106_focus_rnn_nopretrain_es_full_s42_v2_dev_loso_all_p5 ===
time: 2026-08-07T02:47:12.051284 | role: dev
device: cuda (NVIDIA GeForce RTX 3060)
platform: Windows-10-10.0.26200-SP0 | torch 2.6.0+cu124
loading 246 cached arrays
segmentation attention: 6 region per sampel dari regionmask144 (mode=static)
fixed split loaded: 21 development subjects, 5 sealed audit subjects
!! LOSO over ALL 26 subjects -- AUDIT SEAL BROKEN. This number is comparable to published LOSO results, and the audit split can no longer serve as an untouched final check.
fold 1/26: 25 train subjects / 1 validation subjects; 237 train / 9 validation samples
      [early-stop] inner-val subjects=[9, 11, 17, 18, 21, 22] n_fit=173 n_check=64
      ep09 train_loss=1.0737 train_acc=0.603 | val_loss=1.3128 val_acc=0.571
      ep10 train_loss=1.1222 train_acc=0.603 | val_loss=1.5137 val_acc=0.286
      ep11 train_loss=0.9882 train_acc=0.636 | val_loss=1.2761 val_acc=0.429
      ep12 train_loss=0.9528 train_acc=0.653 | val_loss=1.3544 val_acc=0.571
      ep13 train_loss=0.9513 train_acc=0.711 | val_loss=1.2035 val_acc=0.429
      ep14 train_loss=0.9754 train_acc=0.711 | val_loss=1.2886 val_acc=0.429
      ep15 train_loss=0.9176 train_acc=0.745 | val_loss=1.3053 val_acc=0.429
      ep16 train_loss=0.9175 train_acc=0.720 | val_loss=1.3346 val_acc=0.429
      ep17 train_loss=0.9098 train_acc=0.720 | val_loss=1.2533 val_acc=0.571
      ep18 train_loss=0.8743 train_acc=0.741 | val_loss=1.2535 val_acc=0.571
      saved re-evaluation checkpoint fold2_ep18.pt
      ep19 train_loss=0.8825 train_acc=0.762 | val_loss=1.2992 val_acc=0.571
      saved re-evaluation checkpoint fold2_ep19.pt
      ep20 train_loss=0.9296 train_acc=0.720 | val_loss=1.1907 val_acc=0.571
      saved re-evaluation checkpoint fold2_ep20.pt
fold result: UF1=0.3500 UAR=0.3500 ACC=0.5714
fold 4/26: 25 train subjects / 1 validation subjects; 241 train / 5 validation samples
      [early-stop] inner-val subjects=[9, 11, 17, 18, 21, 22] n_fit=177 n_check=64
      [probe] ep00 train_loss=1.7563 train_acc=0.243 check=-1.6245 best=-1.6245@ep00
      [probe] ep01 train_loss=1.6573 train_acc=0.384 check=-1.4189 best=-1.4189@ep01
      [probe] ep02 train_loss=1.4904 train_acc=0.412 check=-1.2901 best=-1.2901@ep02
      [probe] ep03 train_loss=1.4837 train_acc=0.429 check=-1.1791 best=-1.1791@ep03
      [probe] ep04 train_loss=1.4963 train_acc=0.390 check=-1.3215 best=-1.1791@ep03
      [probe] ep05 train_loss=1.4241 train_acc=0.441 check=-1.1971 best=-1.1791@ep03
      [probe] ep06 train_loss=1.3947 train_acc=0.497 check=-1.2024 best=-1.1791@ep03
      [probe] ep07 train_loss=1.3194 train_acc=0.446 check=-1.3652 best=-1.1791@ep03
      [probe] ep08 train_loss=1.3728 train_acc=0.463 check=-1.1435 best=-1.1435@ep08
      [probe] ep09 train_loss=1.4033 train_acc=0.531 check=-1.2155 best=-1.1435@ep08
      [probe] ep10 train_loss=1.2603 train_acc=0.497 check=-1.1872 best=-1.1435@ep08
      [probe] ep11 train_loss=1.2743 train_acc=0.554 check=-1.1043 best=-1.1043@ep11
      [probe] ep12 train_loss=1.3488 train_acc=0.542 check=-1.1279 best=-1.1043@ep11
      [probe] ep13 train_loss=1.2431 train_acc=0.514 check=-1.1965 best=-1.1043@ep11
      [probe] ep14 train_loss=1.2120 train_acc=0.576 check=-1.1735 best=-1.1043@ep11
      [probe] ep15 train_loss=1.2221 train_acc=0.537 check=-1.0398 best=-1.0398@ep15
      [probe] ep16 train_loss=1.1731 train_acc=0.593 check=-1.0756 best=-1.0398@ep15
      [probe] ep17 train_loss=1.2124 train_acc=0.593 check=-1.1357 best=-1.0398@ep15
      [probe] ep18 train_loss=1.1248 train_acc=0.621 check=-1.0935 best=-1.0398@ep15
      [probe] ep19 train_loss=1.2056 train_acc=0.576 check=-1.0760 best=-1.0398@ep15
      [probe] ep20 train_loss=1.1337 train_acc=0.610 check=-1.0359 best=-1.0359@ep20
      [probe] ep21 train_loss=1.1300 train_acc=0.599 check=-1.0036 best=-1.0036@ep21
      [probe] ep22 train_loss=1.1014 train_acc=0.655 check=-0.9934 best=-0.9934@ep22
      [probe] ep23 train_loss=1.1041 train_acc=0.627 check=-0.9405 best=-0.9405@ep23
      [probe] ep24 train_loss=1.0629 train_acc=0.689 check=-1.0285 best=-0.9405@ep23
      [probe] ep25 train_loss=1.0827 train_acc=0.712 check=-0.8798 best=-0.8798@ep25
      [probe] ep26 train_loss=0.9954 train_acc=0.746 check=-1.1357 best=-0.8798@ep25
      [probe] ep27 train_loss=0.9836 train_acc=0.729 check=-0.9693 best=-0.8798@ep25
      [probe] ep28 train_loss=0.9446 train_acc=0.734 check=-1.0696 best=-0.8798@ep25
      [probe] ep29 train_loss=0.9491 train_acc=0.734 check=-0.9090 best=-0.8798@ep25
      [probe] ep30 train_loss=0.9325 train_acc=0.706 check=-0.9389 best=-0.8798@ep25
      [probe] ep31 train_loss=0.9451 train_acc=0.768 check=-0.9205 best=-0.8798@ep25
      [probe] ep32 train_loss=0.9203 train_acc=0.763 check=-1.0399 best=-0.8798@ep25
      [probe] ep33 train_loss=0.9319 train_acc=0.723 check=-0.9752 best=-0.8798@ep25
      [probe] ep34 train_loss=0.8563 train_acc=0.797 check=-1.0747 best=-0.8798@ep25
      [probe] ep35 train_loss=0.8722 train_acc=0.808 check=-1.1244 best=-0.8798@ep25
      [probe] ep36 train_loss=0.8959 train_acc=0.791 check=-0.9454 best=-0.8798@ep25
      [probe] ep37 train_loss=0.8773 train_acc=0.819 check=-0.9726 best=-0.8798@ep25
      [probe] refit epochs = 26 (check=-0.8798)
      ep00 train_loss=1.6720 train_acc=0.274 | val_loss=1.9855 val_acc=0.000
      ep01 train_loss=1.5374 train_acc=0.344 | val_loss=1.2561 val_acc=0.400
      ep02 train_loss=1.4377 train_acc=0.419 | val_loss=1.4954 val_acc=0.200
      ep03 train_loss=1.3741 train_acc=0.477 | val_loss=1.1332 val_acc=0.400
      ep04 train_loss=1.2768 train_acc=0.506 | val_loss=0.9787 val_acc=0.400
      ep05 train_loss=1.2081 train_acc=0.544 | val_loss=1.0317 val_acc=0.600
      ep06 train_loss=1.2038 train_acc=0.598 | val_loss=0.9960 val_acc=0.400
      ep07 train_loss=1.2069 train_acc=0.539 | val_loss=0.8058 val_acc=0.600
      ep08 train_loss=1.1516 train_acc=0.602 | val_loss=1.0082 val_acc=0.600
      ep09 train_loss=1.0549 train_acc=0.631 | val_loss=0.9894 val_acc=0.600
      ep10 train_loss=1.0915 train_acc=0.610 | val_loss=0.9319 val_acc=0.600
      ep11 train_loss=1.0489 train_acc=0.598 | val_loss=0.7187 val_acc=0.600
      ep12 train_loss=1.0250 train_acc=0.593 | val_loss=0.6744 val_acc=0.800
      ep13 train_loss=1.0571 train_acc=0.585 | val_loss=0.5983 val_acc=0.800
      ep14 train_loss=0.9840 train_acc=0.734 | val_loss=0.6104 val_acc=0.800
      ep15 train_loss=0.9583 train_acc=0.664 | val_loss=0.4627 val_acc=0.800
      ep16 train_loss=0.9129 train_acc=0.656 | val_loss=0.4288 val_acc=0.800
      ep17 train_loss=0.8790 train_acc=0.718 | val_loss=0.5150 val_acc=0.800
      ep18 train_loss=0.9037 train_acc=0.722 | val_loss=0.4701 val_acc=0.800
      ep19 train_loss=0.9197 train_acc=0.718 | val_loss=0.5004 val_acc=0.800
      ep20 train_loss=0.8435 train_acc=0.780 | val_loss=0.5797 val_acc=0.800
      ep21 train_loss=0.8705 train_acc=0.734 | val_loss=0.4571 val_acc=0.800
      ep22 train_loss=0.8231 train_acc=0.751 | val_loss=0.5155 val_acc=0.800
      ep23 train_loss=0.8129 train_acc=0.788 | val_loss=0.4673 val_acc=0.800
      saved re-evaluation checkpoint fold3_ep23.pt
      ep24 train_loss=0.8186 train_acc=0.788 | val_loss=0.5035 val_acc=0.800
      saved re-evaluation checkpoint fold3_ep24.pt
      ep25 train_loss=0.8323 train_acc=0.788 | val_loss=0.5180 val_acc=0.800
      saved re-evaluation checkpoint fold3_ep25.pt
fold result: UF1=0.3048 UAR=0.3000 ACC=0.8000
fold 5/26: 25 train subjects / 1 validation subjects; 227 train / 19 validation samples
      [early-stop] inner-val subjects=[9, 11, 17, 18, 21, 22] n_fit=163 n_check=64
